property_type,property_bedrooms,property_rooms,property_surface_total,property_surface_covered,latitud,longitud,tipo_precio
Departamento,1.0,1.0,62.31303033258125,32.0,-34.5685922,-58.4898759,bajo
Departamento,3.0,4.0,171.84293946792616,159.0,-34.5851173,-58.3981276,alto
Departamento,1.0,2.0,53.0,42.0,-34.5977901,-58.4314825,medio
Departamento,1.0,1.0,43.0,37.0,-34.5965829,-58.4113165,medio
Departamento,1.0,1.0,60.58814987375692,30.0,-34.6090663,-58.4277851,bajo
Departamento,1.0,2.0,49.0,49.0,-34.6317483751,-58.3627903463,bajo
Departamento,1.0,1.0,42.0,38.0,-34.6044798,-58.4926129,medio
Departamento,1.0,1.0,59.0,50.0,-34.5922185,-58.4334756,medio
Departamento,1.0,2.0,43.0,41.0,-34.578663,-58.457439,medio
Departamento,2.0,3.0,57.0,53.0,-34.558113,-58.4569565,medio
Departamento,2.0,3.0,58.0,52.0,-34.6152205,-58.4420169,bajo
Departamento,4.0,4.0,110.0,105.0,-34.5586699,-58.4638542,medio
Departamento,2.0,3.0,95.0,84.0,-34.5563087,-58.449196,alto
Departamento,1.0,2.0,57.0,53.0,-34.5644278372,-58.4512121656,alto
Departamento,1.0,2.0,48.0,48.0,-34.588811,-58.414004,medio
Departamento,2.0,4.0,187.0,187.0,-34.5921884,-58.3790738,alto
Departamento,2.0,3.0,91.0,81.0,-34.5555753,-58.4388026,alto
Departamento,3.0,4.0,78.0,70.0,-34.617944,-58.438874,medio
Departamento,4.0,5.0,144.0,126.0,-34.633566,-58.4606421,medio
Departamento,3.0,4.0,138.0,138.0,-34.6111722,-58.3865543,bajo
Departamento,1.0,2.0,27.0,27.0,-34.6058373,-58.4246868,medio
Departamento,1.0,2.0,52.0,47.0,-34.5416101,-58.473381,bajo
Departamento,1.0,2.0,52.0,47.0,-34.541616,-58.4733768,bajo
Departamento,3.0,4.0,194.0,134.0,-34.61981,-58.462184,medio
Departamento,3.0,4.0,115.0,106.0,-34.5833495,-58.4130026,medio
Departamento,1.0,1.0,35.0,35.0,-34.5816987,-58.4335472,medio
