genre,popularity,acousticness,danceability,duration_ms,energy,liveness,loudness,speechiness,tempo,valence
Dance,99.0,0.0421,0.726,190440.0,0.554,0.106,-5.29,0.0917,169.999,0.335
Dance,83.0,0.109,0.775,208787.0,0.613,0.134,-4.586,0.0542,100.066,0.797
Dance,87.0,0.0441,0.737,222653.0,0.636,0.35,-4.546,0.0437,105.005,0.565
Dance,78.0,0.0203,0.586,220573.0,0.701,0.055,-5.326,0.0416,104.957,0.254
Dance,72.0,0.422,0.728,200773.0,0.646,0.0899,-4.387,0.0463,103.983,0.46
Dance,73.0,0.00699,0.618,173082.0,0.867,0.202,-4.915,0.0439,98.03,0.579
Dance,71.0,0.0588,0.795,190347.0,0.7,0.0977,-5.221,0.107,120.002,0.798
Dance,68.0,0.0179,0.581,202439.0,0.684,0.0849,-4.962,0.0429,129.966,0.0397
Dance,72.0,0.168,0.66,263040.0,0.816,0.0608,-6.61,0.0299,111.346,0.678
Dance,64.0,0.0691,0.712,256040.0,0.905,0.499,-5.774,0.042,98.601,0.942
Dance,65.0,0.611,0.512,213253.0,0.598,0.0881,-4.959,0.115,70.189,0.345
Dance,68.0,0.471,0.406,233467.0,0.62,0.0893,-8.751,0.153,129.812,0.26
Dance,61.0,0.00311,0.379,272987.0,0.608,0.248,-7.011,0.134,81.822,0.241
Dance,61.0,0.103,0.837,227840.0,0.515,0.233,-4.065,0.0793,129.001,0.769
Dance,64.0,0.526,0.553,208254.0,0.618,0.103,-7.096,0.151,133.076,0.715
Dance,70.0,0.00388,0.619,457133.0,0.703,0.163,-9.414,0.0525,115.043,0.709
Dance,61.0,0.00639,0.676,238733.0,0.938,0.0621,-6.664,0.0681,104.833,0.641
Dance,61.0,0.0506,0.729,250667.0,0.658,0.0693,-3.386,0.225,140.043,0.551
Dance,61.0,0.0673,0.557,378600.0,0.428,0.139,-11.299,0.137,103.009,0.0996
Dance,68.0,0.0234,0.776,205360.0,0.693,0.0322,-2.528,0.0314,102.996,0.635
Dance,71.0,0.0131,0.472,340200.0,0.652,0.14,-10.171,0.0305,140.124,0.401
Dance,71.0,0.733,0.57,212933.0,0.519,0.139,-5.671,0.0309,139.701,0.24
Dance,58.0,0.053,0.768,284000.0,0.807,0.214,-5.508,0.106,112.001,0.575
